#{"t_start": 1679480980.870534, "env_id": "FrozenLake-v1"}
r,l,t
0.0,2,1.68776
0.0,3,1.692765
0.0,4,1.69877
0.0,4,1.704776
0.0,10,1.72079
0.0,6,1.729798
0.0,5,1.736805
0.0,10,1.751818
0.0,7,1.762828
0.0,2,1.765831
0.0,11,1.781846
0.0,2,1.78585
1.0,17,1.813875
0.0,6,1.824885
0.0,4,1.831891
0.0,3,1.836896
0.0,7,1.848907
0.0,11,1.868925
0.0,17,1.894949
0.0,3,1.899954
0.0,2,1.902956
0.0,13,1.923976
0.0,8,1.936987
0.0,6,1.945996
0.0,7,1.957006
0.0,3,1.961009
0.0,2,1.965013
0.0,5,1.972019
0.0,2,1.975022
0.0,6,1.985031
0.0,2,1.988034
0.0,9,2.002047
0.0,7,2.012056
1.0,7,2.023066
0.0,21,2.055095
0.0,20,2.086123
0.0,12,2.10514
0.0,4,2.111146
0.0,13,2.131164
0.0,6,2.140872
0.0,7,2.1489
0.0,3,2.15291
0.0,4,2.160923
0.0,6,2.171035
0.0,2,2.175039
0.0,7,2.185048
0.0,5,2.193055
0.0,12,2.212072
0.0,7,2.222081
0.0,20,2.25311
0.0,31,2.301153
0.0,7,2.312164
0.0,3,2.317168
0.0,8,2.329179
0.0,9,2.343191
0.0,4,2.349197
0.0,7,2.360207
0.0,5,2.368214
0.0,3,2.373219
0.0,7,2.383228
0.0,3,2.388233
0.0,5,2.39624
0.0,7,2.40725
0.0,19,2.436276
0.0,6,2.445285
0.0,3,2.450289
0.0,2,2.453292
0.0,10,2.469306
0.0,10,2.521354
0.0,3,2.526358
0.0,4,2.532364
0.0,8,2.545374
0.0,6,2.554384
0.0,5,2.562391
0.0,8,2.574402
0.0,3,2.579406
0.0,2,2.582409
0.0,8,2.59442
0.0,6,2.603428
0.0,8,2.61644
0.0,2,2.619443
0.0,2,2.622446
0.0,25,2.66048
0.0,2,2.663483
0.0,2,2.666486
0.0,8,2.678573
0.0,3,2.683577
0.0,4,2.689583
0.0,8,2.701594
0.0,7,2.712604
0.0,14,2.734624
0.0,6,2.743632
0.0,5,2.751639
0.0,8,2.764651
0.0,16,2.788673
0.0,18,2.816698
0.0,3,2.821703
0.0,3,2.825706
0.0,5,2.833714
0.0,8,2.845725
0.0,8,2.858737
0.0,27,2.899774
0.0,3,2.904778
0.0,5,2.912786
0.0,5,2.919792
0.0,6,2.929801
0.0,2,2.932804
0.0,10,2.947818
0.0,6,2.956826
0.0,6,2.965834
0.0,13,2.985852
0.0,14,3.007872
0.0,3,3.011876
0.0,7,3.022886
0.0,4,3.028891
0.0,12,3.047909
0.0,5,3.054915
0.0,13,3.074933
0.0,7,3.085943
0.0,4,3.091949
0.0,3,3.096953
0.0,4,3.102958
0.0,3,3.107964
0.0,7,3.117972
0.0,8,3.129983
0.0,3,3.134988
0.0,4,3.140993
0.0,5,3.149001
0.0,2,3.152003
0.0,4,3.158009
0.0,5,3.165066
0.0,7,3.173082
0.0,19,3.205196
0.0,37,3.262249
0.0,10,3.312294
0.0,7,3.324305
0.0,9,3.337317
0.0,15,3.360338
0.0,10,3.375351
0.0,3,3.380356
0.0,13,3.400374
0.0,5,3.407381
0.0,2,3.411384
0.0,5,3.418391
0.0,6,3.427399
0.0,6,3.437407
0.0,5,3.445415
0.0,2,3.448418
0.0,4,3.454423
0.0,12,3.47244
0.0,33,3.522485
0.0,4,3.529491
0.0,4,3.535497
0.0,3,3.539501
0.0,7,3.550511
0.0,4,3.556516
0.0,19,3.585542
0.0,8,3.598555
0.0,8,3.610565
0.0,10,3.625578
0.0,3,3.630583
0.0,5,3.638591
0.0,10,3.653604
0.0,8,3.666616
0.0,5,3.67365
0.0,29,3.717793
0.0,8,3.729804
0.0,7,3.740814
0.0,7,3.751824
0.0,10,3.766837
0.0,12,3.785855
0.0,4,3.79186
0.0,15,3.814881
0.0,7,3.825891
0.0,10,3.840905
0.0,27,3.881942
0.0,5,3.88995
0.0,6,3.898958
0.0,3,3.903962
0.0,7,3.914972
0.0,9,3.927984
0.0,4,3.93399
0.0,4,3.940996
0.0,12,3.959012
0.0,11,3.976027
0.0,5,3.983034
0.0,3,3.988039
0.0,10,4.003052
0.0,8,4.015063
0.0,2,4.019067
0.0,6,4.028075
0.0,6,4.037083
0.0,20,4.067111
0.0,8,4.115154
0.0,4,4.12216
0.0,3,4.126164
0.0,12,4.145181
0.0,4,4.151187
0.0,8,4.164199
0.0,4,4.170204
0.0,11,4.18722
0.0,14,4.207255
0.0,12,4.228367
0.0,5,4.235373
0.0,6,4.245382
0.0,9,4.259395
0.0,5,4.267402
0.0,7,4.278412
0.0,2,4.281415
0.0,12,4.299431
0.0,2,4.303435
0.0,2,4.306437
0.0,2,4.30944
0.0,6,4.318448
0.0,15,4.34247
0.0,6,4.351479
0.0,9,4.366492
0.0,3,4.370496
0.0,3,4.3755
0.0,7,4.38651
0.0,2,4.389513
0.0,9,4.403526
0.0,8,4.416538
0.0,4,4.422543
0.0,6,4.432552
0.0,5,4.439559
0.0,13,4.460578
0.0,5,4.467584
0.0,7,4.478594
0.0,9,4.492607
0.0,7,4.503617
0.0,12,4.522634
0.0,3,4.527638
0.0,7,4.537648
0.0,11,4.555664
0.0,7,4.565673
0.0,8,4.578685
0.0,3,4.58369
0.0,6,4.592698
0.0,6,4.602707
0.0,10,4.617721
0.0,20,4.648749
0.0,14,4.670769
0.0,8,4.68278
0.0,4,4.689786
0.0,8,4.701797
0.0,4,4.706799
0.0,12,4.726914
0.0,6,4.736923
0.0,2,4.739927
0.0,6,4.748934
0.0,12,4.767952
0.0,9,4.783966
0.0,10,4.799981
0.0,12,4.819999
0.0,5,4.828009
0.0,4,4.835012
0.0,3,4.840017
0.0,17,4.868043
0.0,8,4.881054
0.0,10,4.89807
0.0,2,4.901073
0.0,4,4.946114
0.0,3,4.952119
0.0,2,4.955122
0.0,9,4.970136
0.0,10,4.98615
0.0,3,4.991155
0.0,7,5.002165
0.0,17,6.360739
0.0,8,6.373751
0.0,16,6.398774
0.0,18,6.4268
0.0,7,6.43781
0.0,2,6.440813
0.0,5,6.44882
0.0,4,6.454825
0.0,7,6.465835
0.0,22,6.500867
0.0,4,6.506872
0.0,5,6.514879
0.0,10,6.529893
0.0,15,6.553915
0.0,7,6.564925
0.0,2,6.567928
1.0,8,6.579939
0.0,4,6.586945
0.0,3,6.590949
0.0,6,6.600958
0.0,7,6.611968
0.0,3,6.616972
0.0,2,6.619975
0.0,10,6.634989
0.0,5,6.642996
0.0,3,6.647
0.0,9,6.661012
0.0,3,6.666017
0.0,3,6.670021
0.0,7,6.681031
0.0,19,6.710057
0.0,39,6.772113
0.0,10,6.788128
0.0,2,6.791131
0.0,4,6.798137
0.0,2,6.80114
0.0,10,6.817154
0.0,5,6.825162
0.0,4,6.831167
0.0,7,6.842177
0.0,2,6.84518
0.0,4,6.852186
0.0,6,6.861194
0.0,4,6.868201
0.0,10,6.884216
0.0,2,6.887218
0.0,4,6.894225
0.0,5,6.902232
0.0,8,6.915243
0.0,6,6.925252
0.0,2,6.928255
0.0,6,6.938265
0.0,2,6.941267
0.0,3,6.946272
0.0,6,6.95528
0.0,8,6.968292
0.0,2,6.971295
0.0,6,6.981304
0.0,6,6.990312
0.0,24,7.029347
0.0,2,7.03235
0.0,11,7.050367
0.0,4,7.056372
0.0,8,7.104416
0.0,7,7.116427
0.0,3,7.12043
0.0,4,7.127436
0.0,10,7.143451
0.0,22,7.179484
0.0,2,7.183488
0.0,3,7.188493
0.0,3,7.193497
0.0,7,7.204507
0.0,3,7.209512
0.0,11,7.227528
0.0,2,7.230531
0.0,2,7.233533
0.0,9,7.248547
0.0,3,7.25255
0.0,4,7.2596
0.0,2,7.2596
0.0,5,7.270674
0.0,10,7.286689
0.0,2,7.290692
0.0,9,7.304705
0.0,15,7.328727
0.0,17,7.356752
0.0,9,7.370765
0.0,9,7.385779
0.0,2,7.388782
0.0,3,7.393786
0.0,4,7.400792
0.0,7,7.412803
0.0,3,7.417808
0.0,13,7.438827
0.0,4,7.445833
0.0,2,7.448836
0.0,13,7.469855
0.0,12,7.489873
0.0,2,7.492876
0.0,5,7.500883
0.0,3,7.505888
0.0,3,7.510892
0.0,16,7.536916
0.0,7,7.548927
0.0,11,7.565943
0.0,2,7.569946
0.0,3,7.574951
0.0,24,7.613986
0.0,7,7.624996
0.0,4,7.631001
0.0,10,7.648017
0.0,14,7.671038
0.0,7,7.683049
0.0,9,7.701065
0.0,5,7.711077
0.0,20,7.748113
0.0,2,7.751116
0.0,3,7.756142
0.0,6,7.76816
0.0,2,7.772168
0.0,11,7.795274
0.0,5,7.803281
0.0,2,7.808286
0.0,31,7.868344
0.0,10,7.887361
0.0,12,7.912384
0.0,12,7.934407
0.0,3,7.939411
