#{"t_start": 1679479579.2301593, "env_id": "FrozenLake-v1"}
r,l,t
0.0,2,1.71348
0.0,3,1.718484
0.0,4,1.724489
0.0,4,1.732497
0.0,10,1.749513
0.0,6,1.759522
0.0,5,1.769531
0.0,10,1.786546
0.0,7,1.798557
0.0,2,1.801559
0.0,11,1.819576
0.0,2,1.822578
1.0,17,1.849603
0.0,6,1.858611
0.0,4,1.866618
0.0,3,1.871623
0.0,7,1.88365
0.0,11,1.901667
0.0,17,1.929693
0.0,3,1.934697
0.0,2,1.937699
0.0,13,1.95972
0.0,8,1.972889
0.0,6,1.982996
0.0,7,1.993997
0.0,3,2.000002
0.0,2,2.003005
0.0,5,2.011012
0.0,2,2.015016
0.0,6,2.024024
0.0,2,2.027027
0.0,9,2.042041
0.0,7,2.053051
1.0,7,2.065062
0.0,21,2.098344
0.0,20,2.130373
0.0,12,2.150448
0.0,4,2.15644
0.0,13,2.177751
0.0,6,2.187762
0.0,7,2.198772
0.0,3,2.203777
0.0,4,2.209782
0.0,6,2.219791
0.0,2,2.222794
0.0,7,2.234805
0.0,5,2.242812
0.0,12,2.26183
0.0,7,2.27384
0.0,20,2.305872
0.0,31,2.355922
0.0,7,2.367933
0.0,3,2.372937
0.0,8,2.385949
0.0,9,2.400468
0.0,4,2.406979
0.0,7,2.41899
0.0,5,2.427998
0.0,3,2.434004
0.0,7,2.445014
0.0,3,2.450019
0.0,5,2.458025
0.0,7,2.469036
0.0,19,2.500064
0.0,6,2.509072
0.0,3,2.515078
0.0,2,2.51808
0.0,10,2.534097
0.0,10,2.589147
0.0,3,2.594152
0.0,4,2.601158
0.0,8,2.615171
0.0,6,2.62418
0.0,5,2.63319
0.0,8,2.647203
0.0,3,2.65221
0.0,2,2.655213
0.0,8,2.668225
0.0,6,2.679235
0.0,8,2.692247
0.0,2,2.696251
0.0,2,2.700254
0.0,25,2.742977
0.0,2,2.74598
0.0,2,2.749983
0.0,8,2.763996
0.0,3,2.769001
0.0,4,2.776007
0.0,8,2.790022
0.0,7,2.802035
0.0,14,2.826058
0.0,6,2.837067
0.0,5,2.844074
0.0,8,2.858087
0.0,16,2.88411
0.0,18,2.913142
0.0,3,2.918146
0.0,3,2.923151
0.0,5,2.931158
0.0,8,2.94417
0.0,8,2.957181
0.0,27,3.001224
0.0,3,3.006228
0.0,5,3.014236
0.0,5,3.022243
0.0,6,3.032252
0.0,2,3.035255
0.0,10,3.051272
0.0,6,3.061281
0.0,6,3.070291
0.0,13,3.091311
0.0,14,3.114334
0.0,3,3.119339
0.0,7,3.130349
0.0,4,3.136357
