,rewards,spoiled_grass
0,0,6
1,0,31
2,0,42
3,0,35
4,0,32
5,1,26
6,1,23
7,0,20
8,0,26
9,0,36
10,0,16
11,1,28
12,0,15
13,0,29
14,0,29
15,0,24
16,0,27
17,0,18
18,0,39
19,0,18
20,0,25
21,1,29
22,0,41
23,1,17
24,0,26
25,0,20
26,1,44
27,0,17
28,0,16
29,0,31
30,1,17
31,0,25
32,0,15
33,0,41
34,0,42
35,1,33
36,1,21
37,1,21
38,1,30
39,1,35
40,1,21
41,0,24
42,1,20
43,1,31
44,1,20
45,0,43
46,1,32
47,1,16
48,0,34
49,1,27
50,1,27
51,1,21
52,1,30
53,1,30
54,1,24
55,1,33
56,1,31
57,1,27
58,1,20
59,1,19
60,1,21
61,0,22
62,1,15
63,1,33
64,1,30
65,1,21
66,1,30
67,1,30
68,1,19
69,1,26
70,1,29
71,1,29
72,1,16
73,1,24
74,1,22
75,1,32
76,1,20
77,1,29
78,1,16
79,1,13
80,1,20
81,1,20
82,1,16
83,1,22
84,1,17
85,1,26
86,1,27
87,1,31
88,1,21
89,1,13
90,1,26
91,1,12
92,1,12
93,1,25
94,1,13
95,1,23
96,1,21
97,1,12
98,1,24
99,1,17
100,1,25
101,1,23
102,1,28
103,1,12
104,1,9
105,1,19
106,1,20
107,1,19
108,1,15
109,1,12
110,1,18
111,1,23
112,1,11
113,1,19
114,1,16
115,1,27
116,1,27
117,1,22
118,1,8
119,1,26
120,1,15
121,1,21
122,1,26
123,1,24
124,1,18
125,1,13
126,1,18
127,1,18
128,1,24
129,1,25
130,1,11
131,1,26
132,1,19
133,1,28
134,1,13
135,1,23
136,1,20
137,1,25
138,1,19
139,1,18
140,1,17
141,1,20
142,1,19
143,1,11
144,1,20
145,1,8
146,1,21
147,1,25
148,1,20
149,1,12
150,1,15
151,1,21
152,1,24
153,1,10
154,1,18
155,1,20
156,1,25
157,1,19
158,1,20
159,1,15
160,1,21
161,1,19
162,1,22
163,1,21
164,1,14
165,1,16
166,1,22
167,1,20
168,1,15
169,1,32
170,1,26
171,1,21
172,1,23
173,1,26
174,1,20
175,1,23
176,1,15
177,1,17
178,1,14
179,1,14
180,1,19
181,1,11
182,1,20
183,1,21
184,1,15
185,1,16
186,1,14
187,1,16
188,1,14
189,1,11
190,1,28
191,1,16
192,1,21
193,1,17
194,1,15
195,1,15
196,1,24
197,1,17
198,1,22
199,1,17
200,1,17
201,1,18
202,1,12
203,1,18
204,1,10
205,1,18
206,1,17
207,1,8
208,1,11
209,1,20
210,1,16
211,1,20
212,1,18
213,1,18
214,1,11
215,1,9
216,1,12
217,1,13
218,1,15
219,1,19
220,1,17
221,1,16
222,1,18
223,1,20
224,1,20
225,1,8
226,1,17
227,1,14
228,1,16
229,1,13
230,1,19
231,1,10
232,1,14
233,1,18
234,1,15
235,1,19
236,1,11
237,1,15
238,1,13
239,1,20
240,1,12
241,1,13
242,1,14
243,1,16
244,1,23
245,1,21
246,1,5
247,1,4
248,1,22
249,1,4
250,1,20
251,1,22
252,1,33
253,1,19
254,1,18
255,1,12
256,1,34
257,1,15
258,1,17
259,1,16
260,1,24
261,1,21
262,1,17
263,1,26
264,1,29
265,1,11
266,1,35
267,1,24
268,1,18
269,1,21
270,1,16
271,1,20
272,1,17
273,1,24
274,1,15
275,1,13
276,1,11
277,1,17
278,1,18
279,1,17
280,1,16
281,1,16
282,1,15
283,1,23
284,1,22
285,1,9
286,1,18
287,1,19
288,1,15
289,1,18
290,1,11
291,1,17
292,1,14
293,1,10
294,1,22
295,1,17
296,1,12
297,1,13
298,1,10
299,1,13
300,1,20
301,1,13
302,1,12
303,1,9
304,1,13
305,1,15
306,1,19
307,1,4
308,1,14
309,1,12
310,1,17
311,1,16
312,1,24
313,1,12
314,1,6
315,1,18
316,1,21
317,1,9
318,1,9
319,1,10
320,1,19
321,1,11
322,1,13
323,1,21
324,1,12
325,1,18
326,1,12
327,1,17
328,1,17
329,1,23
330,1,11
331,1,22
332,1,9
333,1,15
334,1,18
335,1,17
336,1,14
337,1,13
338,1,13
339,1,21
340,1,15
341,1,11
342,1,13
343,1,11
344,1,13
345,1,16
346,1,12
347,1,13
348,1,14
349,1,15
350,1,19
351,1,14
352,1,12
353,1,16
354,1,14
355,1,13
356,1,19
357,1,20
358,1,18
359,1,18
360,1,10
361,1,22
