#{"t_start": 1679442213.4733348, "env_id": null}
r,l,t,ruined grasses
0,120,0.468795,6
0,120,0.85945,31
0,120,1.250399,42
0,120,1.640759,35
0,120,2.031414,32
1,92,2.343937,26
1,69,2.57833,23
0,120,3.000237,20
0,120,3.406518,26
0,120,3.828425,36
0,120,4.251473,16
1,110,4.626502,28
0,120,5.048409,15
0,120,5.470315,29
0,120,5.893363,29
0,120,6.31527,24
0,120,6.753058,27
0,120,9.207324,18
0,120,9.615569,39
0,120,10.023183,18
0,120,10.429485,25
1,80,10.712173,29
0,120,11.134079,41
1,56,11.337274,17
0,120,11.759126,26
0,120,12.181035,20
1,90,12.493561,44
0,120,12.916968,17
0,120,13.340469,16
0,120,13.777953,31
1,50,13.949836,17
0,120,14.387429,25
0,120,14.809322,15
0,120,15.248245,41
0,120,15.686639,42
1,79,15.967911,33
1,56,16.171051,21
1,66,18.439638,21
1,82,18.720918,30
1,112,19.097089,35
1,84,19.393986,21
0,120,19.815893,24
1,74,20.097164,20
1,99,20.487819,31
1,36,20.629721,20
0,120,21.053313,43
1,99,21.397089,32
1,81,21.662734,16
0,120,22.069015,34
1,64,22.28778,27
1,53,22.475295,27
1,63,22.694062,21
1,91,23.022212,30
1,58,23.226484,30
1,94,23.554634,24
1,102,23.914036,33
1,80,24.195308,31
1,104,24.601914,27
1,71,24.883117,20
1,82,25.164439,19
1,70,25.414581,21
0,120,27.901366,22
1,53,28.073563,15
1,99,28.386897,33
1,89,28.683794,30
1,39,28.840056,21
1,100,29.199458,30
1,54,29.386972,30
1,53,29.559117,19
1,71,29.793555,26
1,59,30.027646,29
1,106,30.495318,29
1,74,30.871742,16
1,76,31.153012,24
1,86,31.437521,22
1,75,31.671915,32
1,60,31.875054,20
1,69,32.094071,29
1,46,32.250083,16
1,42,32.375093,13
1,40,32.515728,20
1,29,32.610008,20
1,47,32.766004,16
1,36,32.891109,22
1,39,33.015766,17
1,77,33.281706,26
1,48,33.437664,27
1,93,33.767201,31
1,45,33.925195,21
1,54,34.112447,13
1,74,34.362745,26
1,34,34.487475,12
1,49,34.659676,12
1,73,34.909695,25
1,30,37.021438,13
1,40,37.162073,23
1,34,37.271456,21
1,25,37.365214,12
1,44,37.505849,24
1,65,37.724615,17
1,53,37.927756,25
1,46,38.130897,23
1,63,38.396541,28
1,44,38.554366,12
1,30,38.663749,9
1,68,38.882516,19
1,60,39.101283,20
1,55,39.288797,19
1,30,39.382554,15
1,30,39.491936,12
1,45,39.632573,18
1,45,39.788835,23
1,44,39.930705,11
1,42,40.07134,19
1,42,40.227602,16
1,64,40.446368,27
1,70,40.682126,27
1,56,40.885266,22
1,40,41.025902,8
1,59,41.230268,26
1,29,41.324025,15
1,64,41.558418,21
1,47,41.714679,26
1,44,41.870941,24
1,51,42.058456,18
1,42,42.199091,13
1,53,42.386605,18
1,45,42.54407,18
1,44,42.700332,24
1,46,42.872221,25
1,31,42.981604,11
1,63,43.20037,26
1,35,43.32538,19
1,53,43.512894,28
1,49,43.684782,13
1,46,43.85667,23
1,45,44.014128,20
1,64,46.249838,25
1,29,46.343596,19
1,35,46.468873,18
1,30,46.562676,17
1,35,46.689094,20
1,34,46.79848,19
1,28,46.892281,11
1,44,47.048498,20
1,34,47.173509,8
1,46,47.329823,21
1,39,47.454969,25
1,45,47.611032,20
1,34,47.736053,12
1,36,47.861053,15
1,35,47.970443,21
1,47,48.143837,24
1,33,48.253175,10
1,49,48.425175,18
1,73,48.67508,20
1,41,48.831347,25
1,38,48.957785,19
1,35,49.082803,20
1,25,49.160899,15
1,39,49.301523,21
1,30,49.412383,19
1,32,49.521805,22
1,43,49.678204,21
1,33,49.787407,14
1,25,49.881171,16
1,52,50.068721,22
1,43,50.224949,20
1,31,50.334332,15
1,67,50.568789,32
1,87,50.867096,26
1,46,51.039193,21
1,49,51.210876,23
1,59,51.414176,26
1,37,51.554788,20
1,38,51.695297,23
1,39,51.835922,15
1,42,51.976542,17
1,31,52.087136,14
1,33,52.212402,14
1,29,52.306151,19
1,36,52.446852,11
1,33,52.556202,20
1,44,52.71244,21
1,23,52.806197,15
1,33,52.915581,16
1,28,53.024962,14
1,21,53.102838,16
1,42,53.259362,14
1,23,53.337484,11
1,71,55.621346,28
1,31,55.73073,16
1,53,55.918244,21
1,28,56.012001,17
1,29,56.105758,15
1,26,56.185107,15
1,50,56.356996,24
1,41,56.497631,17
1,38,56.638267,22
1,37,56.763276,17
1,29,56.857033,17
1,37,56.982043,18
1,34,57.107052,12
1,26,57.200809,18
1,21,57.263314,10
1,54,57.450828,18
1,30,57.561418,17
1,24,57.639549,8
1,29,57.748932,11
1,38,57.889568,20
1,27,57.983325,16
1,32,58.092708,20
1,56,58.280222,18
1,26,58.373979,18
1,23,58.45211,11
1,33,58.57712,9
1,36,58.702129,12
1,66,58.93773,13
1,26,59.031487,15
1,35,59.156497,19
1,38,59.281506,17
1,35,59.406516,16
1,40,59.547151,18
1,41,59.704615,20
1,29,59.798372,20
1,31,59.907755,8
1,28,60.017138,17
1,33,60.126522,14
1,31,60.235905,16
1,22,60.315247,13
1,42,60.471508,19
1,27,60.565265,10
1,27,60.659023,14
1,52,60.846537,18
1,30,60.95592,15
1,28,61.049677,19
1,22,61.127808,11
1,26,61.221565,15
1,28,61.330948,13
1,32,61.440332,20
1,21,61.518463,12
1,24,61.596594,13
1,18,61.660304,14
1,31,61.785313,16
1,46,61.941575,23
1,40,62.097837,21
1,24,62.175968,5
1,33,62.300977,4
1,50,62.488492,22
1,28,62.582248,4
1,47,64.778496,20
1,37,64.903802,22
1,102,65.247545,33
1,42,65.388239,19
1,35,65.5133,18
1,19,65.575697,12
1,80,65.858854,34
1,35,65.983874,15
1,35,66.093344,17
1,34,66.218212,16
1,44,66.374474,24
1,40,66.515152,21
1,31,66.60891,17
1,55,66.812027,26
1,66,67.0464,29
1,21,67.110339,11
1,103,67.46974,35
1,61,67.688499,24
1,28,67.782277,18
1,46,67.954365,21
1,40,68.094832,16
1,60,68.297982,20
1,54,68.486668,17
1,75,68.75257,24
1,29,68.86207,15
1,22,68.940098,13
1,20,69.018372,11
1,23,69.096371,17
1,39,69.237022,18
1,24,69.315862,17
1,33,69.44012,16
1,22,69.518341,16
1,30,69.627635,15
1,33,69.737055,23
1,69,69.988544,22
1,22,70.066685,9
1,28,70.160523,18
1,47,70.332317,19
1,33,70.457361,15
1,33,70.566716,18
1,25,70.660475,11
1,24,70.739847,17
1,30,70.84949,14
1,28,70.958938,10
1,50,71.130503,22
1,47,71.303862,17
1,22,71.397578,12
1,31,71.507003,13
1,20,71.569464,10
1,27,71.678901,13
1,48,71.850738,20
1,20,71.928914,13
1,25,74.023623,12
1,28,74.117381,9
1,35,74.24239,13
1,24,74.320521,15
1,21,74.398652,19
1,29,74.492409,4
1,34,74.601792,14
1,22,74.679923,12
1,27,74.77368,17
1,20,74.836185,16
1,60,75.054952,24
1,22,75.133083,12
1,28,75.22684,6
1,21,75.289344,18
1,46,75.461232,21
1,21,75.523737,9
1,24,75.617494,9
1,20,75.679999,10
1,34,75.805008,19
1,34,75.914392,11
1,18,75.976897,13
1,37,76.117532,21
1,25,76.195663,12
1,21,76.273794,18
1,25,76.367551,12
1,22,76.445682,17
1,33,76.555065,17
1,53,76.742579,23
1,29,76.836337,11
1,35,76.961346,22
1,19,77.039477,9
1,23,77.117608,15
1,25,77.195739,18
1,35,77.320748,17
1,31,77.430131,14
1,27,77.539515,13
1,29,77.633272,13
1,31,77.742655,21
1,22,77.820786,15
1,30,77.930169,11
1,29,78.039553,13
1,19,78.102057,11
1,20,78.180188,13
1,23,78.258319,16
1,31,78.367702,12
1,24,78.445833,13
1,23,78.539591,14
1,22,78.617722,15
1,37,78.742731,19
1,27,78.836488,14
1,26,78.9314,12
1,20,79.009531,16
1,34,79.118914,14
1,29,79.228297,13
1,29,79.33768,19
1,26,79.431437,20
1,34,79.540821,18
1,29,79.650204,18
1,23,79.728335,10
1,48,79.900223,22
1,18,79.962728,13
1,19,80.040859,16
1,27,80.134616,18
1,40,80.275251,10
1,25,80.369009,13
1,28,80.478392,16
1,35,80.603401,16
1,33,80.715186,19
1,37,80.855822,13
1,26,80.949579,19
1,18,81.012083,9
1,21,81.090214,12
1,22,81.168345,9
1,24,83.263347,15
1,26,83.357114,11
1,22,83.435245,12
1,30,83.529002,18
1,26,83.622759,11
1,20,83.685264,16
1,26,83.779021,15
1,26,83.872778,16
1,21,83.935283,11
1,36,84.060292,15
1,22,84.138423,17
1,30,84.247806,17
1,22,84.325938,16
1,22,84.388442,15
1,22,84.466573,13
1,23,84.544704,13
1,18,84.607209,13
1,22,84.685339,13
1,32,84.794723,14
1,20,84.872854,15
1,86,85.169751,24
1,21,85.247882,10
1,23,85.326013,11
1,25,85.404144,14
1,27,85.497901,18
1,20,85.576032,16
1,22,85.654163,11
1,24,85.732294,14
1,32,85.841677,21
1,21,85.919808,14
1,28,86.013565,17
1,37,86.154201,15
1,32,86.263584,22
1,20,86.341715,13
1,29,86.435472,16
1,29,86.544855,11
1,42,86.685491,15
1,30,86.794874,11
1,29,86.904258,14
1,22,86.982389,12
1,23,87.060519,12
1,30,87.169903,17
1,24,87.248034,14
1,21,87.326165,13
1,35,87.451174,15
1,26,87.546127,18
1,24,87.624258,16
1,24,87.702389,19
1,30,87.811772,16
1,35,87.936782,24
1,38,88.077417,19
1,62,88.296184,20
1,40,88.43682,20
1,30,88.546203,17
1,38,88.671212,16
1,22,88.764969,13
1,20,88.827474,11
1,50,89.014988,21
1,31,89.124372,15
1,23,89.202503,19
1,50,89.374391,21
1,23,89.468148,13
1,25,89.553638,15
1,24,89.647395,9
1,18,89.7099,15
1,36,89.834909,19
1,32,89.959919,16
1,22,90.03805,16
1,29,90.131807,15
1,24,90.225564,13
1,25,90.320793,14
1,32,90.430176,21
1,22,92.511396,17
1,21,92.589792,4
1,28,92.683552,20
1,18,92.746233,17
1,20,92.808559,12
1,22,92.886693,12
1,19,92.949233,14
1,51,93.136703,19
1,18,93.183586,5
1,26,93.277344,18
1,22,93.355501,12
1,25,93.449281,14
1,23,93.527366,13
1,28,93.621271,12
1,29,93.73053,15
1,22,93.808721,12
1,22,93.873381,10
1,24,93.967523,12
1,23,94.045753,17
1,29,94.154922,12
1,23,94.233342,13
1,30,94.342543,16
1,19,94.404939,11
1,22,94.483126,12
1,28,94.576818,13
1,25,94.670588,15
1,23,94.748716,12
1,20,94.82658,12
1,23,94.904975,12
1,20,94.983161,12
1,62,95.201869,24
1,20,95.264425,13
1,20,95.342509,14
1,23,95.42064,15
1,24,95.514405,12
1,31,95.629872,12
1,22,95.708002,15
1,24,95.786169,17
1,19,95.848658,4
1,22,95.926764,12
1,27,96.035895,21
1,47,96.192435,21
1,19,96.254915,14
1,19,96.333103,7
1,33,96.442426,18
1,29,96.551816,18
1,33,96.66125,13
1,25,96.754956,18
1,27,96.848709,12
1,21,96.926844,19
1,26,97.020593,13
1,32,97.129987,13
1,19,97.192505,10
1,24,97.286305,16
1,29,97.39563,15
1,24,97.473761,16
1,20,97.551897,14
1,25,97.630023,15
1,23,97.723783,13
1,20,97.786387,14
1,37,97.926912,22
1,24,98.005044,15
1,33,98.131742,14
1,23,98.209871,11
1,27,98.303629,17
1,18,98.366192,15
1,23,98.459893,15
1,21,98.538018,14
1,23,98.616319,13
1,24,98.709913,19
1,29,98.803701,16
1,21,98.881799,13
1,24,98.975567,14
1,18,99.038218,16
1,21,99.116327,14
1,43,99.2725,16
1,22,99.350582,11
1,20,99.428718,11
1,21,99.506845,12
1,24,99.584977,12
1,21,99.663153,17
1,23,101.773641,17
1,18,101.836147,10
1,28,101.930225,19
1,22,101.992671,12
1,31,102.10205,14
1,22,102.180227,14
1,23,102.258364,17
1,25,102.336612,11
1,32,102.445826,15
1,20,102.508412,5
1,23,102.586474,12
1,21,102.664826,10
1,21,102.727159,14
1,20,102.789613,9
1,28,102.883372,14
1,25,102.977163,12
1,26,103.072051,16
1,20,103.134812,13
1,24,103.22866,15
1,28,103.322376,9
1,20,103.384831,12
1,26,103.478622,18
1,20,103.541097,17
1,23,103.634848,15
1,22,103.712982,12
1,19,103.775502,9
1,22,103.853622,13
1,19,103.917391,10
1,26,104.011435,11
1,21,104.073907,13
1,23,104.167674,13
1,26,104.245798,17
1,23,104.339559,15
1,22,104.417676,15
1,19,104.480237,10
1,20,104.542781,13
1,21,104.620824,15
1,22,104.698956,13
1,21,104.777087,11
1,20,104.839643,16
1,22,104.917731,17
1,25,105.011502,12
1,19,105.073988,11
1,24,105.167741,11
1,26,105.261639,11
1,24,105.339765,10
1,23,105.417766,13
1,19,105.495885,11
1,22,105.574023,9
1,24,105.652212,14
1,22,105.730344,15
1,24,105.824042,16
1,19,105.888012,8
1,33,105.997461,18
1,21,106.075626,12
1,24,106.169335,16
1,34,106.278694,12
1,23,106.372441,16
1,19,106.434929,11
1,22,106.513059,9
1,24,106.606823,9
1,23,106.684947,16
1,21,106.763087,12
1,20,106.825884,15
1,23,106.903713,11
1,23,106.997524,14
1,20,107.05998,8
1,18,107.12248,7
1,20,107.200673,12
1,18,107.263124,13
1,19,107.325752,17
1,21,107.40376,14
1,18,107.466321,14
1,21,107.544408,9
1,28,107.653773,14
1,20,107.716327,8
1,21,107.794415,16
1,30,107.903798,19
1,18,107.96634,13
1,23,108.044446,16
1,26,108.155345,13
1,23,108.233363,11
1,19,108.295832,11
1,23,108.389592,19
1,25,108.46772,10
1,27,108.577104,13
1,18,108.639651,11
1,18,108.702105,5
1,20,108.780288,14
1,27,108.875469,18
1,29,111.001466,13
1,22,111.079597,13
1,20,111.142411,16
1,24,111.236118,13
1,19,111.298647,15
1,18,111.345514,10
1,20,111.423698,15
1,21,111.486144,14
1,23,111.564421,15
1,20,111.642456,13
1,19,111.704909,14
1,22,111.782784,16
1,30,111.87679,17
1,23,111.954929,16
1,30,112.048775,19
1,19,112.126828,14
1,19,112.189367,15
1,21,112.267461,17
1,20,112.329959,16
1,18,112.392597,14
1,18,112.454959,11
1,19,112.517479,11
1,18,112.579975,15
1,18,112.642492,8
1,23,112.720355,12
1,21,112.798738,10
1,20,112.861291,13
1,29,112.970716,13
1,30,113.081481,15
1,20,113.143923,17
1,19,113.206476,15
1,23,113.284714,11
1,18,113.362797,17
1,22,113.425199,18
1,18,113.487808,13
1,23,113.58147,13
1,22,113.659592,13
1,22,113.737727,12
1,20,113.800267,12
1,22,113.878405,16
1,18,113.940609,13
1,22,114.018989,15
1,21,114.097122,13
1,25,114.19088,14
1,23,114.269016,15
1,21,114.347138,6
