,rewards,spoiled_grass
0,0,6
1,0,31
2,0,42
3,0,35
4,0,32
5,1,26
6,1,23
7,0,20
8,0,26
9,0,36
10,0,16
11,1,28
12,0,15
13,0,29
14,0,29
15,0,24
16,0,27
17,0,20
18,1,22
19,0,21
20,0,23
21,0,41
22,0,26
23,1,17
24,0,19
25,0,25
26,1,44
27,1,14
28,0,18
29,0,28
30,1,31
31,1,15
32,0,30
33,1,18
34,0,15
35,0,40
36,1,25
37,1,21
38,1,22
39,1,29
40,1,19
41,1,29
42,1,26
43,1,27
44,1,36
45,1,36
46,1,20
47,0,36
48,1,24
49,0,29
50,1,25
51,1,16
52,1,20
53,0,23
54,1,16
55,0,37
56,1,22
57,0,25
58,1,20
59,1,20
60,1,20
61,1,22
62,0,22
63,1,13
64,1,30
65,1,28
66,1,20
67,1,25
68,1,29
69,1,23
70,1,24
71,1,31
72,1,19
73,1,26
74,1,31
75,0,32
76,1,7
77,1,28
78,1,28
79,1,13
80,1,18
81,1,23
82,1,18
83,1,19
84,1,31
85,1,25
86,1,26
87,1,18
88,1,12
89,1,28
90,1,21
91,1,29
92,1,18
93,1,17
94,1,19
95,1,23
96,1,25
97,1,8
98,1,24
99,1,18
100,1,20
101,1,19
102,1,16
103,1,27
104,1,19
105,1,18
106,1,15
107,1,6
108,1,9
109,1,15
110,1,14
111,1,17
112,1,16
113,1,9
114,1,22
115,1,14
116,1,18
117,1,21
118,1,13
119,1,18
120,1,16
121,1,18
122,1,24
123,1,18
124,1,20
125,1,11
126,1,19
127,1,13
128,1,22
129,1,14
130,1,21
131,1,17
132,1,13
133,1,16
134,1,24
135,1,16
136,1,21
137,1,32
138,1,19
139,1,21
140,1,22
141,1,19
142,1,17
143,1,16
144,1,22
145,1,17
146,1,5
147,1,16
148,1,17
149,1,18
150,1,20
151,1,15
152,1,19
153,1,15
154,1,25
155,1,20
156,1,21
157,1,23
158,1,12
159,1,20
160,1,24
161,1,13
162,1,15
163,1,15
164,1,22
165,1,13
166,1,19
167,1,24
168,1,11
169,1,17
170,1,18
171,1,19
172,1,16
173,1,18
174,1,21
175,1,19
176,1,25
177,1,15
178,1,12
179,1,17
180,1,15
181,1,13
182,1,13
183,1,16
184,1,14
185,1,16
186,1,19
187,1,18
188,1,13
189,1,17
190,1,18
191,1,15
192,1,19
193,1,18
194,1,20
195,1,7
196,1,20
197,1,13
198,1,11
199,1,16
200,1,22
201,1,11
202,1,18
203,1,23
204,1,16
205,1,15
206,1,17
207,1,13
208,1,10
209,1,13
210,1,13
211,1,17
212,1,6
213,1,17
214,1,16
215,1,27
216,1,17
217,1,11
218,1,15
219,1,18
220,1,14
221,1,18
222,1,18
223,1,17
224,1,14
225,1,18
226,1,11
227,1,14
228,1,16
229,1,14
230,1,16
231,1,10
232,1,23
233,1,16
234,1,15
235,1,7
236,1,12
237,1,16
238,1,16
239,1,11
240,1,13
241,1,13
242,1,15
243,1,22
244,1,11
245,1,18
246,1,11
247,1,22
248,1,25
249,1,23
250,1,11
251,1,12
252,1,17
253,1,18
254,1,13
255,1,15
256,1,14
257,1,20
258,1,20
259,1,9
260,1,17
261,1,12
262,1,14
263,1,12
264,1,18
265,1,18
266,1,18
267,1,14
268,1,15
269,1,15
270,1,15
271,1,17
272,1,28
273,1,14
274,1,17
275,1,21
276,1,16
277,1,13
278,1,5
279,1,14
280,1,14
281,1,18
282,1,17
283,1,12
284,1,13
285,1,14
286,1,13
287,1,12
288,1,14
289,1,18
290,1,18
291,1,18
292,1,17
293,1,9
294,1,19
295,1,6
296,1,13
297,1,18
298,1,17
299,1,14
300,1,10
301,1,14
302,1,12
303,1,21
304,1,25
305,1,13
306,1,12
307,1,15
308,1,19
309,1,11
310,1,16
311,1,15
312,1,14
313,1,17
314,1,20
315,1,10
316,1,14
317,1,19
318,1,16
319,1,10
320,1,20
321,1,11
322,1,18
323,1,13
324,1,12
325,1,11
326,1,14
327,1,19
328,1,17
329,1,11
330,1,19
331,1,18
332,1,11
333,1,18
334,1,20
335,1,11
336,1,11
337,1,14
338,1,17
339,1,10
340,1,18
341,1,20
342,1,15
343,1,17
344,1,13
345,1,21
346,1,11
347,1,23
348,1,10
349,1,18
350,1,9
351,1,17
352,1,14
353,1,29
354,1,15
355,1,13
356,1,20
357,1,9
358,1,15
359,1,13
360,1,5
361,1,14
