#{"t_start": 1679415267.1031415, "env_id": null}
r,l,t,ruined grasses
0,120,3.064427,6
0,120,3.422754,31
0,120,3.785481,42
0,120,4.155084,35
0,120,4.712593,32
1,92,4.991848,26
1,69,5.194032,23
0,120,5.545352,20
0,120,5.896671,26
0,120,6.308044,36
0,120,6.670376,16
1,110,7.00468,28
0,120,7.373014,15
0,120,7.791396,29
0,120,8.164735,29
0,120,8.541077,24
0,120,8.919421,27
0,120,11.004141,20
1,67,11.205324,22
0,120,11.567653,21
0,120,11.93799,23
0,120,12.312344,41
0,120,12.737731,26
1,69,12.954928,17
0,120,13.333272,19
0,120,13.707612,25
1,90,14.029904,44
1,62,14.2451,14
0,120,14.624445,18
0,120,15.005792,28
1,73,15.238003,31
1,94,15.536274,15
0,120,15.971669,30
1,80,16.227902,18
0,120,16.613255,15
0,120,16.998535,40
1,60,17.191711,25
1,56,17.416915,21
1,64,19.285614,22
1,64,19.477788,29
1,55,19.64394,19
1,80,19.885159,29
1,87,20.151401,26
1,60,20.335568,27
1,110,20.722922,36
1,115,21.081248,36
1,47,21.227381,20
0,120,21.601721,36
1,70,21.82092,24
0,120,22.238299,29
1,87,22.520556,25
1,65,22.725743,16
1,63,22.924923,20
0,120,23.314277,23
1,39,23.445397,16
0,120,23.883794,37
1,92,24.206088,22
0,120,24.643485,25
1,105,24.964777,20
1,103,25.275059,20
1,70,25.528288,20
1,54,25.707452,22
0,120,27.754328,22
1,59,27.929487,13
1,62,28.113655,30
1,104,28.423937,28
1,40,28.541043,20
1,79,28.829307,25
1,75,29.066523,29
1,35,29.182629,23
1,53,29.349781,24
1,75,29.589999,31
1,81,29.854239,19
1,65,30.065434,26
1,89,30.394732,31
0,120,30.808109,32
1,40,30.940229,7
1,118,31.331584,28
1,89,31.625852,28
1,33,31.737954,13
1,31,31.839046,18
1,66,32.09179,23
1,50,32.261945,18
1,45,32.409079,19
1,114,32.775415,31
1,55,32.973597,25
1,81,33.250849,26
1,43,33.422004,18
1,52,33.592159,12
1,77,33.889429,28
1,41,34.034561,21
1,113,34.381876,29
1,48,36.195525,18
1,36,36.303623,17
1,28,36.387699,19
1,56,36.555852,23
1,49,36.701988,25
1,35,36.809084,8
1,63,37.003261,24
1,33,37.142386,18
1,65,37.350577,20
1,44,37.485699,19
1,27,37.570777,16
1,63,37.764953,27
1,32,37.863042,19
1,54,38.030194,18
1,35,38.140294,15
1,35,38.250394,6
1,25,38.328465,9
1,46,38.471596,15
1,35,38.582696,14
1,62,38.818911,17
1,35,38.934016,16
1,30,39.028101,9
1,53,39.20226,22
1,60,39.393433,14
1,25,39.472505,18
1,48,39.625644,21
1,28,39.714725,13
1,47,39.86286,18
1,37,39.979966,16
1,36,40.093069,18
1,58,40.311266,24
1,61,40.524461,18
1,36,40.639566,20
1,59,40.829738,11
1,41,40.961859,19
1,40,41.090976,13
1,64,41.297163,22
1,52,41.463314,14
1,34,41.573414,21
1,34,41.685516,17
1,33,41.791612,13
1,35,41.906617,16
1,71,42.18487,24
1,33,42.298973,16
1,47,42.453113,21
1,75,42.698336,32
1,43,44.508982,19
1,31,44.604068,21
1,52,44.768217,22
1,39,44.890329,19
1,24,44.9656,17
1,24,45.040669,16
1,32,45.141761,22
1,33,45.244854,17
1,32,45.386982,5
1,31,45.497083,16
1,32,45.600177,17
1,35,45.716283,18
1,27,45.821378,20
1,41,45.967511,15
1,36,46.094627,19
1,22,46.170696,15
1,82,46.430932,25
1,41,46.560049,20
1,33,46.662142,21
1,58,46.84731,23
1,48,47.037482,12
1,49,47.207638,20
1,40,47.334753,24
1,31,47.430701,13
1,34,47.539908,15
1,39,47.664021,15
1,36,47.778124,22
1,29,47.87221,13
1,34,47.981309,19
1,61,48.178488,24
1,32,48.281582,11
1,51,48.448734,17
1,39,48.574849,18
1,36,48.73099,19
1,35,48.851099,16
1,69,49.077305,18
1,33,49.186404,21
1,36,49.309516,19
1,62,49.510699,25
1,24,49.589771,15
1,47,49.744912,12
1,26,49.866025,17
