,rewards,spoiled_grass
0,0,139
1,0,119
2,0,106
3,0,128
4,0,130
5,0,73
6,0,137
7,0,96
8,0,93
9,0,101
10,0,124
11,0,114
12,0,94
13,0,90
14,0,88
15,0,134
16,0,71
17,0,138
18,0,132
19,0,93
20,0,120
21,0,91
22,0,68
23,0,109
24,1,87
25,0,65
26,1,111
27,0,104
28,0,116
29,0,75
30,0,136
31,0,127
32,1,109
33,1,49
34,0,120
35,1,99
36,1,92
37,0,133
38,0,101
39,1,138
40,0,91
41,1,108
42,1,74
43,1,117
44,1,79
45,1,92
46,1,90
47,1,89
48,1,68
49,1,94
50,1,111
51,0,136
52,0,88
53,1,69
54,1,64
55,1,74
56,1,98
57,1,125
58,1,55
59,1,84
60,1,69
61,1,71
62,1,73
63,1,110
64,1,108
65,1,78
66,1,78
67,1,95
68,1,68
69,1,73
70,1,49
71,1,81
72,1,51
73,1,50
74,1,55
75,1,71
76,1,30
77,1,90
78,1,57
79,1,70
80,1,47
81,1,62
82,1,59
83,1,61
84,1,54
85,1,75
86,1,95
87,1,41
88,1,62
89,1,37
90,1,62
91,1,57
92,1,61
93,1,55
94,1,66
95,1,51
96,1,56
97,1,64
98,1,58
99,1,47
100,1,68
101,1,33
102,1,58
103,1,48
104,1,25
105,1,45
106,1,54
107,1,44
108,1,43
109,1,63
110,1,53
111,1,46
112,1,45
113,1,79
114,1,45
115,1,68
116,1,52
117,1,41
118,1,71
119,1,44
120,1,32
121,1,57
122,1,45
123,1,39
124,1,51
125,1,49
126,1,57
127,1,79
128,1,61
129,1,31
130,1,39
131,1,35
132,1,56
133,1,41
134,1,51
135,1,54
136,1,69
137,1,60
138,1,51
139,1,41
140,1,33
141,1,30
142,1,47
143,1,46
144,1,55
145,1,38
146,1,43
147,1,47
148,1,42
149,1,29
150,1,34
151,1,43
152,1,35
153,1,40
154,1,44
155,1,39
156,1,46
157,1,36
158,1,45
159,1,52
160,1,28
161,1,39
162,1,37
163,1,54
164,1,39
165,1,58
166,1,46
167,1,72
168,1,37
169,1,46
170,1,36
171,1,41
172,1,67
173,1,44
174,1,48
175,1,57
176,1,34
177,1,46
178,1,64
179,1,61
180,1,45
181,1,43
182,1,44
183,1,91
184,1,59
185,1,58
186,1,50
187,1,42
188,1,90
189,1,52
190,1,51
191,1,35
192,1,48
193,1,53
194,1,32
195,1,38
196,1,43
197,1,43
198,1,42
199,1,46
200,1,51
201,1,40
202,1,64
203,1,38
204,1,35
205,1,55
206,1,46
207,1,32
208,1,55
209,1,57
210,1,51
211,1,44
212,1,39
213,1,44
214,1,33
215,1,36
216,1,40
217,1,47
218,1,41
219,1,44
220,1,68
221,1,49
222,1,35
223,1,45
224,1,47
225,1,37
226,1,49
227,1,36
228,1,43
229,1,101
230,1,45
231,1,38
232,1,39
233,1,40
234,0,96
235,1,31
236,1,36
237,1,51
238,1,41
239,1,44
240,1,39
241,1,47
242,1,42
243,1,38
244,1,40
245,1,45
246,1,53
247,1,45
248,1,43
249,1,35
250,1,38
251,1,44
252,1,40
253,1,35
254,1,49
255,1,46
256,1,40
257,1,44
258,1,33
259,1,29
260,1,39
261,1,40
262,1,48
263,1,35
264,1,48
265,1,36
266,1,56
267,1,36
268,1,36
269,1,40
270,1,46
271,1,46
272,1,46
273,1,30
274,1,43
275,1,38
276,1,32
277,1,37
278,1,43
279,1,42
280,1,41
281,1,40
282,1,52
283,1,41
284,1,51
285,1,29
286,1,60
287,1,40
288,1,43
289,1,26
290,1,57
291,1,42
292,1,37
293,1,39
294,1,45
295,1,39
296,1,30
297,1,35
298,1,31
299,1,28
300,0,87
301,1,32
302,1,35
303,1,35
304,1,44
305,1,35
306,1,37
307,1,37
308,1,33
309,1,48
310,1,42
311,1,39
312,1,52
313,1,28
314,1,39
315,1,44
316,1,39
317,1,35
318,1,68
319,1,29
320,1,28
321,1,38
322,1,32
323,1,42
324,1,34
325,1,39
326,1,36
327,1,37
328,1,36
329,1,29
330,1,29
331,1,34
332,1,32
333,1,30
334,1,31
335,1,35
336,1,41
337,1,35
338,1,31
339,1,26
340,1,30
341,1,36
342,1,41
343,1,34
344,1,43
345,1,39
346,1,43
347,1,48
348,1,38
349,1,33
350,1,33
351,1,35
352,1,35
353,1,43
