#{"t_start": 1679423017.1523116, "env_id": null}
r,l,t,ruined grasses
0,480,9.79148,139
0,480,14.44075,119
0,480,19.041989,106
0,480,23.800094,128
0,480,34.153176,130
0,480,38.74537,73
0,480,43.445189,137
0,480,48.324243,96
0,480,58.384461,93
0,480,63.20284,101
0,480,67.934109,124
0,480,72.658633,114
0,480,82.930096,94
0,480,87.742197,90
0,480,92.637646,88
0,480,97.660833,134
0,480,102.486631,71
0,480,110.246099,138
0,480,112.365572,132
0,480,114.573996,93
0,480,116.813903,120
0,480,120.715448,91
0,480,122.801069,68
0,480,124.993578,109
1,409,126.741393,87
0,480,131.943003,65
1,278,133.794075,111
0,480,136.627551,104
0,480,138.583443,116
0,480,141.423998,75
0,480,148.155129,136
0,480,151.168871,127
1,336,153.247796,109
1,222,154.704907,49
0,480,157.970849,120
1,284,164.028437,99
1,365,167.100228,92
0,480,171.106158,133
0,480,175.454259,101
1,392,179.155477,138
0,480,188.903517,91
1,295,191.608536,108
1,244,193.945653,74
1,316,196.690162,117
1,289,199.265553,79
1,276,201.624074,92
1,281,204.216524,90
1,213,211.448506,89
1,169,213.060972,68
1,258,215.386084,94
1,414,219.415029,111
0,480,223.822445,136
0,480,228.528586,88
1,176,230.13406,69
1,124,236.977323,64
1,182,238.747933,74
1,272,241.346393,98
1,375,244.844355,125
1,141,246.259641,55
1,200,248.082297,84
1,144,249.453819,69
1,187,251.421076,71
1,145,252.885099,73
1,302,255.87746,110
1,305,264.420668,108
1,179,266.271351,78
1,273,268.841614,78
1,270,271.595999,95
1,194,273.516256,68
1,226,275.620672,73
1,100,276.61958,49
1,202,278.485109,81
1,86,279.342022,51
1,169,281.102621,50
1,170,288.327339,55
1,141,289.704176,71
1,129,291.022373,30
1,447,295.286377,90
1,121,296.542048,57
1,178,298.308653,70
1,78,299.082356,47
1,123,300.287451,62
1,110,301.37544,59
1,207,303.251357,61
1,114,304.405405,54
1,189,306.335666,75
1,326,315.158924,95
1,85,316.0137,41
1,204,317.967263,62
1,92,318.860601,37
1,131,320.151775,62
1,134,321.512174,57
1,110,322.523096,61
1,145,323.829288,55
1,138,325.074418,66
1,118,326.165411,51
1,134,327.273417,56
1,206,329.23577,64
1,110,330.347677,58
1,117,331.447676,47
1,182,338.679282,68
1,53,339.200756,33
1,126,340.305828,58
1,79,341.133488,48
1,83,341.923057,25
1,68,342.593666,45
1,122,343.808771,54
1,78,344.58849,44
1,81,345.479567,43
1,133,346.704731,63
1,162,348.181072,53
1,112,349.287682,46
1,101,350.359656,45
1,240,352.709553,79
1,108,353.76351,45
1,145,355.199075,68
1,98,356.063862,52
1,78,356.741478,41
1,191,364.051133,71
1,65,364.684709,44
1,85,365.586545,32
1,97,366.542413,57
1,88,367.427218,45
1,68,368.119514,39
1,119,369.276371,51
1,103,370.199715,49
1,103,371.232654,57
1,187,373.092344,79
1,115,374.22137,61
1,77,374.979058,31
1,56,375.597621,39
1,77,376.355481,35
1,102,377.382387,56
1,65,378.047923,41
1,103,379.060425,51
1,112,380.025302,54
1,126,381.367521,69
1,135,382.522571,60
1,109,389.281951,51
1,84,390.132724,41
1,52,390.574126,33
1,69,391.272774,30
1,98,392.160026,47
1,80,392.881682,46
1,154,394.255054,55
1,74,394.90164,38
1,73,395.620293,43
1,73,396.267883,47
1,68,396.901459,42
1,77,397.355871,29
1,100,397.896363,34
1,102,398.522777,43
1,94,399.178906,35
1,81,399.652821,40
1,91,400.184319,44
1,66,400.57067,39
1,71,400.987049,46
1,57,401.26931,36
1,78,401.77525,45
1,95,402.354777,52
1,61,402.715104,28
1,92,403.259599,39
1,65,403.641947,37
1,120,407.613471,54
1,66,408.078987,39
1,131,408.895248,58
1,118,409.627914,46
1,163,410.629606,72
1,56,410.970916,37
1,79,411.531937,46
1,69,411.963329,36
1,88,412.504821,41
1,123,413.271517,67
1,78,413.752767,44
1,92,414.318983,48
1,161,415.385232,57
1,56,415.730556,34
1,72,416.180964,46
1,327,418.263861,64
1,156,419.236758,61
1,92,419.823291,45
1,71,424.004154,43
1,81,424.588685,44
1,230,426.013021,91
1,105,426.733675,59
1,93,427.313766,58
1,118,428.211368,50
1,78,428.702814,42
1,177,429.798741,90
1,146,430.970807,52
1,96,431.840597,51
1,61,432.346056,35
1,103,433.035683,48
1,107,433.710297,53
1,57,434.071625,32
1,67,434.477603,38
1,78,435.04164,43
1,57,435.414979,43
1,75,435.906437,42
1,63,436.320814,46
1,83,436.855299,51
1,59,437.17559,40
1,113,442.507035,64
1,55,443.053536,38
1,68,443.651305,35
1,143,444.869411,55
1,92,445.679147,46
1,53,446.138447,32
1,127,447.316517,55
1,95,448.115242,57
1,97,448.933486,51
1,74,449.609674,44
1,84,450.273801,39
1,62,450.815799,44
1,60,451.353287,33
1,65,451.995999,36
1,82,452.710616,40
1,65,453.260115,47
1,69,453.87067,41
1,64,454.453199,44
1,179,456.220805,68
