,rewards,spoiled_grass
0,0,6
1,0,31
2,0,42
3,0,35
4,0,32
5,1,26
6,1,23
7,0,20
8,0,26
9,0,36
10,0,16
11,1,28
12,0,15
13,0,29
14,0,29
15,0,24
16,0,27
17,0,18
18,1,21
19,0,21
20,0,26
21,0,33
22,0,31
23,1,22
24,0,27
25,0,28
26,1,44
27,0,21
28,0,21
29,0,36
30,1,23
31,0,27
32,1,23
33,0,26
34,0,39
35,1,25
36,1,25
37,1,26
38,1,21
39,1,26
40,0,32
41,0,28
42,1,34
43,0,30
44,1,30
45,0,38
46,1,32
47,1,23
48,1,26
49,1,26
50,1,28
51,0,32
52,1,17
53,0,34
54,1,34
55,1,33
56,0,29
57,1,24
58,1,23
59,1,26
60,1,31
61,1,27
62,1,35
63,1,35
64,1,21
65,1,28
66,1,31
67,1,28
68,1,28
69,1,25
70,1,22
71,1,31
72,0,31
73,1,32
74,1,34
75,1,30
76,1,15
77,1,27
78,1,25
79,1,27
80,1,27
81,1,34
82,1,23
83,1,26
84,0,30
85,1,31
86,1,13
87,1,17
88,1,21
89,1,34
90,1,23
91,1,25
92,1,31
93,1,25
94,1,20
95,1,25
96,1,34
97,1,16
98,1,22
99,1,25
100,1,27
101,1,14
102,1,32
103,1,21
104,1,26
105,1,21
106,1,23
107,1,23
108,1,33
109,1,29
110,1,19
111,1,26
112,1,20
113,1,29
114,1,29
115,1,27
116,1,16
117,1,33
118,1,22
119,1,23
120,1,25
121,1,21
122,1,10
123,1,19
124,1,19
125,1,12
126,1,15
127,1,10
128,1,20
129,1,27
130,1,17
131,1,15
132,1,16
133,1,21
134,1,17
135,1,15
136,1,28
137,1,20
138,1,19
139,1,12
140,1,20
141,1,17
142,1,21
143,1,13
144,1,24
145,1,27
146,1,19
147,1,22
148,1,34
149,1,14
150,1,29
151,1,10
152,1,27
153,1,20
154,1,17
155,1,18
156,1,14
157,1,9
158,1,19
159,1,14
160,1,22
161,1,16
162,1,19
163,1,10
164,1,22
165,1,7
166,1,19
167,1,31
168,1,24
169,1,25
170,1,14
171,1,21
172,1,16
173,1,20
174,1,19
175,1,14
176,1,16
177,1,10
178,1,11
179,1,23
180,1,23
181,1,19
182,1,18
183,1,12
184,1,11
185,1,13
186,1,14
187,1,16
188,1,20
189,1,16
190,1,18
191,1,21
192,1,15
193,1,11
194,1,21
195,1,9
196,1,22
197,1,21
198,1,23
199,1,22
200,1,17
201,1,19
202,1,17
203,1,24
204,1,15
205,1,20
206,1,16
207,1,18
208,1,23
209,1,7
210,1,11
211,1,15
212,1,24
213,1,20
214,1,16
215,1,25
216,1,12
217,1,18
218,1,23
219,1,19
220,1,15
221,1,19
222,1,17
223,1,22
224,1,13
225,1,13
226,1,16
227,1,21
228,1,23
229,1,20
230,1,19
231,1,15
232,1,24
233,1,11
234,1,13
235,1,19
236,1,18
237,1,18
238,1,20
239,1,21
240,1,25
241,1,18
242,1,11
243,1,18
244,1,25
245,1,14
246,1,18
247,1,17
248,1,20
249,1,17
250,1,19
251,1,16
252,1,15
253,1,16
254,1,16
255,1,14
256,1,16
257,1,18
258,1,12
259,1,18
260,1,16
261,1,19
262,1,21
263,1,15
264,1,20
265,1,8
266,1,15
267,1,21
268,1,15
269,1,17
270,1,9
271,1,19
272,1,7
273,1,18
274,1,8
275,1,9
276,1,13
277,1,10
278,1,8
279,1,11
280,1,17
281,1,16
282,1,15
283,1,14
284,1,9
285,1,15
286,1,14
287,1,17
288,1,14
289,1,15
290,1,17
291,1,14
292,1,20
293,1,15
294,1,17
295,1,21
296,1,17
297,1,20
298,1,13
299,1,19
300,1,15
301,1,13
302,1,14
303,1,15
304,1,16
305,1,14
306,1,17
307,1,7
308,1,15
309,1,20
310,1,14
311,1,19
312,1,19
313,1,16
314,1,17
315,1,13
316,1,11
317,1,15
318,1,23
319,1,14
320,1,17
321,1,17
322,1,16
323,1,13
324,1,7
325,1,16
326,1,15
327,1,8
328,1,12
329,1,9
330,1,14
331,1,15
332,1,17
333,1,18
334,1,15
335,1,19
336,1,18
337,1,16
338,1,11
339,1,11
340,1,13
341,1,13
342,1,12
343,1,15
344,1,22
345,1,11
346,1,12
347,1,11
348,1,16
349,1,13
350,1,14
351,1,17
352,1,23
353,1,19
354,1,20
355,1,14
356,1,9
357,1,19
358,1,8
359,1,17
360,1,9
361,1,12
