#{"t_start": 1679418268.8367305, "env_id": null}
r,l,t,ruined grasses
0,120,3.229456,6
0,120,3.583792,31
0,120,3.958638,42
0,120,4.325972,35
0,120,4.890485,32
1,92,5.169738,26
1,69,5.380444,23
0,120,5.735777,20
0,120,6.093101,26
0,120,6.568533,36
0,120,6.999929,16
1,110,7.335236,28
0,120,7.733598,15
0,120,8.189014,29
0,120,8.563355,29
0,120,8.920682,24
0,120,9.288016,27
0,120,11.28383,18
1,67,11.48201,21
0,120,11.839334,21
0,120,12.201664,26
0,120,12.564498,33
0,120,12.991887,31
1,71,13.220094,22
0,120,13.615453,27
0,120,13.987795,28
1,89,14.306084,44
0,120,14.719477,21
0,120,15.094817,21
0,120,15.465154,36
1,68,15.674344,23
0,120,16.100735,27
1,120,16.482084,23
0,120,16.873439,26
0,120,17.264795,39
1,60,17.501009,25
1,48,17.709198,25
1,81,19.602086,26
1,56,19.768237,21
1,56,19.940393,26
0,120,20.313732,32
0,120,20.695079,28
1,95,21.068419,34
0,120,21.445761,30
1,99,21.754545,30
0,120,22.123881,38
1,93,22.408643,32
1,51,22.612828,23
1,94,22.926113,26
1,60,23.116287,26
1,53,23.280435,28
0,120,23.654779,32
1,41,23.781894,17
0,120,24.223294,34
1,89,24.530764,34
1,110,24.875077,33
0,120,25.243413,29
1,82,25.506652,24
1,49,25.664796,23
1,78,25.974076,26
1,94,27.897943,31
1,66,28.098125,27
1,119,28.452447,35
1,80,28.700672,35
1,37,28.815777,21
1,85,29.126058,28
1,70,29.356268,31
1,60,29.555449,28
1,77,29.803674,28
1,57,29.980854,25
1,113,30.366205,22
1,105,30.784584,31
0,120,31.15392,31
1,70,31.390135,32
1,73,31.646369,34
1,96,31.94419,30
1,44,32.078312,15
1,108,32.448156,27
1,66,32.659347,25
1,68,32.866535,27
1,85,33.128773,27
1,97,33.429046,34
1,46,33.572176,23
1,51,33.732322,26
0,120,34.147702,30
1,107,34.479003,31
1,50,36.280641,13
1,35,36.383735,17
1,37,36.498839,21
1,112,36.834144,34
1,48,36.981277,23
1,56,37.183461,25
1,67,37.406664,31
1,53,37.57882,25
1,46,37.733961,20
1,65,37.939148,25
1,89,38.209394,34
1,34,38.322496,16
1,47,38.478647,22
1,72,38.716863,25
1,79,39.045161,27
1,43,39.177281,14
1,100,39.481558,32
1,43,39.609674,21
1,58,39.783832,26
1,40,39.908947,21
1,67,40.118136,23
1,72,40.356353,23
1,74,40.644615,33
1,46,40.806762,29
1,53,40.973914,19
1,51,41.127053,26
1,55,41.291203,20
1,53,41.448345,29
1,91,41.745615,29
1,62,41.930784,27
1,31,42.0589,16
1,73,42.290113,33
1,55,42.458266,22
1,59,42.636442,23
1,49,42.78758,25
