,rewards,spoiled_grass
0,0,139
1,0,119
2,0,106
3,0,128
4,0,117
5,0,67
6,0,148
7,0,111
8,0,123
9,0,119
10,0,113
11,0,112
12,0,64
13,0,57
14,0,54
15,0,122
16,0,37
17,0,69
18,0,48
19,0,64
20,0,68
21,0,86
22,0,88
23,0,68
24,0,84
25,1,92
26,0,78
27,1,107
28,0,67
29,0,88
30,0,115
31,0,85
32,0,114
33,1,78
34,0,95
35,1,76
36,1,74
37,1,60
38,0,81
39,0,102
40,1,80
41,1,61
42,0,129
43,1,86
44,1,151
45,0,99
46,1,56
47,1,66
48,1,83
49,0,126
50,0,125
51,1,73
52,1,73
53,1,55
54,0,126
55,1,82
56,1,50
57,1,24
58,1,49
59,1,33
60,1,48
61,1,65
62,1,65
63,1,45
64,1,49
65,1,68
66,1,43
67,1,77
68,1,36
69,1,39
70,1,58
71,1,45
72,1,82
73,1,65
74,1,34
75,1,31
76,1,51
77,1,68
78,1,49
79,1,61
80,1,58
81,1,41
82,1,49
83,1,39
84,1,44
85,1,76
86,1,46
87,1,48
88,1,51
89,1,63
90,1,75
91,1,63
92,1,45
93,1,50
94,1,74
95,1,41
96,1,35
97,1,25
98,1,26
99,1,53
100,1,33
101,1,61
102,1,38
103,1,41
104,1,33
105,1,33
106,1,47
107,1,58
108,1,35
109,1,52
110,1,50
111,1,29
112,1,32
113,1,36
114,1,35
115,1,40
116,1,31
117,1,42
118,1,51
119,1,51
120,1,35
121,1,50
122,1,55
123,1,39
124,1,34
125,1,42
126,1,40
127,1,24
128,1,57
129,1,49
130,1,35
131,1,58
132,1,59
133,1,39
134,1,31
135,1,28
136,1,31
137,1,31
138,1,22
139,1,35
140,1,28
141,1,27
142,1,26
143,1,50
144,1,38
145,1,27
146,1,31
147,1,34
148,1,35
149,1,41
150,1,41
151,1,32
152,1,32
153,1,29
154,1,29
155,1,30
156,1,32
157,1,33
158,1,29
159,1,32
160,1,15
161,1,20
162,1,16
163,1,33
164,1,44
165,1,22
166,1,32
167,1,36
168,1,29
169,1,17
170,0,51
171,1,20
172,1,21
173,1,21
174,1,32
175,1,38
176,1,36
177,1,14
178,1,30
179,1,31
180,1,21
181,1,40
182,1,38
183,1,34
184,1,28
185,1,37
186,1,29
187,1,18
188,1,30
189,1,31
190,1,35
191,1,28
192,1,21
193,1,33
194,1,36
195,1,22
196,1,31
197,1,66
198,1,34
199,1,27
200,1,33
201,1,15
202,1,23
203,1,18
204,1,23
205,1,11
206,1,34
207,1,19
208,1,39
209,1,24
210,1,31
211,1,20
212,1,22
213,1,28
214,1,30
215,1,27
216,1,20
217,1,25
218,1,18
219,1,22
220,1,27
221,1,41
222,1,29
223,1,41
224,1,17
225,1,27
226,0,96
227,1,28
228,1,32
229,1,34
230,1,24
231,1,40
232,1,30
233,1,66
234,1,28
235,1,36
236,1,32
237,1,27
238,1,25
239,1,26
240,1,32
241,1,16
242,1,36
243,1,42
244,1,34
245,1,26
246,1,26
247,1,19
248,1,22
249,1,22
250,1,15
251,1,25
252,1,34
253,1,14
254,1,37
255,1,38
256,1,17
257,1,18
258,1,20
259,1,26
260,1,30
261,1,27
262,1,21
263,1,22
264,1,25
265,1,27
266,1,20
267,1,29
268,1,16
269,1,26
270,1,20
271,1,26
272,1,30
273,1,31
274,1,14
275,1,27
276,1,22
277,1,28
278,1,29
279,1,27
280,1,21
281,1,37
282,1,12
283,1,14
284,1,25
285,1,21
286,1,38
287,1,26
288,1,19
289,1,36
290,1,22
291,1,25
292,1,32
293,1,20
294,1,28
295,1,41
296,1,40
297,1,17
298,1,16
299,1,18
300,1,34
301,1,22
302,1,20
303,1,16
304,1,28
305,1,36
306,1,21
307,1,14
308,1,24
309,1,19
310,1,9
311,1,30
312,1,31
313,1,36
314,1,29
315,1,29
316,1,29
317,1,24
318,1,23
319,1,38
320,1,20
321,1,27
322,1,30
323,1,27
324,1,17
325,1,33
326,1,26
327,1,27
328,1,18
329,1,35
330,1,22
331,1,24
332,1,18
333,1,33
334,1,30
335,1,31
336,1,26
337,1,16
338,1,18
339,1,25
340,1,16
341,1,19
342,1,22
343,1,21
344,1,16
345,1,29
346,1,27
347,1,35
348,1,28
349,1,28
350,1,26
351,1,17
352,1,24
353,1,29
