#{"t_start": 1679427792.4941602, "env_id": null}
r,l,t,ruined grasses
0,480,4.358352,139
0,480,6.322009,119
0,480,8.343674,106
0,480,10.43055,128
0,480,14.104474,117
0,480,15.993937,67
0,480,18.049336,148
0,480,20.127753,111
0,480,23.947526,123
0,480,25.791918,119
0,480,27.824716,113
0,480,29.927289,112
0,480,33.70735,64
0,480,35.515624,57
0,480,37.473022,54
0,480,39.519358,122
0,480,41.592594,37
0,480,45.137923,69
0,480,47.050675,48
0,480,49.107082,64
0,480,51.206581,68
0,480,54.820402,86
0,480,56.672758,88
0,480,58.711275,68
0,480,60.7156,84
1,479,64.428032,92
0,480,66.255291,78
1,397,67.880235,107
0,480,69.951,67
0,480,72.046447,88
0,480,75.624838,115
0,480,77.490633,85
0,480,79.526146,114
1,348,81.065039,78
0,480,84.734373,95
1,199,85.463494,76
1,442,87.192447,74
1,272,88.295719,60
0,480,90.3605,81
0,480,94.191185,102
1,306,95.365572,80
1,143,95.887231,61
0,480,97.810512,129
1,288,99.065005,86
1,463,101.073281,151
0,480,104.837072,99
1,200,105.558184,56
1,225,106.435259,66
1,250,107.389867,83
0,480,109.40862,126
0,480,111.446066,125
1,201,112.27108,73
1,165,114.711285,73
1,130,115.181868,55
0,480,117.009186,126
1,383,118.636062,82
1,154,119.261769,50
1,109,119.708318,24
1,152,120.438284,49
1,86,120.811624,33
1,129,121.348472,48
1,167,122.044304,65
1,175,124.550545,65
1,141,125.071151,45
1,117,125.491657,49
1,220,126.356614,68
1,115,126.782165,43
1,163,127.385869,77
1,109,127.817377,36
1,143,128.482225,39
1,140,129.042864,58
1,171,129.727777,45
1,268,130.914103,82
1,194,131.70707,65
1,76,132.017484,34
1,96,132.521169,31
1,136,134.844929,51
1,110,135.24248,68
1,163,135.829189,49
1,154,136.454867,61
1,143,136.994551,58
1,96,137.351038,41
1,108,137.761585,49
1,84,138.190131,39
1,93,138.566671,44
1,190,139.333588,76
1,105,139.759063,46
1,108,140.284648,48
1,168,140.992869,51
1,128,141.530474,63
1,202,142.472592,75
1,205,145.064212,63
1,108,145.453794,45
1,115,145.871302,50
1,154,146.498945,74
1,86,146.819362,41
1,90,147.152665,35
1,72,147.421033,25
1,76,147.706422,26
1,124,148.277075,53
1,74,148.576347,33
1,131,149.145065,61
1,90,149.512578,38
1,81,149.843056,41
1,89,150.300638,33
1,108,150.76123,33
1,95,151.15659,47
1,174,151.881615,58
1,69,152.171879,35
1,134,152.819362,52
1,116,153.302955,50
1,91,155.413765,29
1,52,155.600935,32
1,102,155.969471,36
1,78,156.312894,35
1,77,156.598154,40
1,71,156.858595,31
1,87,157.179887,42
1,98,157.543353,51
1,95,157.898815,51
1,79,158.286196,35
1,111,158.734704,50
1,124,159.233329,55
1,77,159.542738,39
1,78,159.857186,34
1,82,160.26956,42
1,89,160.642066,40
1,84,160.99252,24
1,115,161.472051,57
1,72,161.772324,49
1,78,162.09775,35
1,121,162.694409,58
1,140,163.277103,59
1,95,165.419795,39
1,57,165.631989,31
1,62,165.848241,28
1,65,166.088589,31
1,54,166.345822,31
1,51,166.532121,22
1,74,166.804368,35
1,87,167.124783,28
